iter	Passed	Remaining
173	1951	9264
174	1963	9254
175	1973	9240
176	1985	9230
177	1995	9215
178	2005	9199
179	2015	9181
180	2025	9166
181	2035	9149
182	2045	9134
183	2055	9116
184	2065	9099
185	2075	9081
186	2086	9071
187	2096	9055
188	2107	9042
189	2117	9028
190	2128	9016
191	2139	9003
192	2149	8986
193	2159	8971
194	2169	8956
195	2179	8940
196	2189	8925
197	2199	8908
198	2209	8893
199	2218	8875
200	2228	8859
201	2238	8842
202	2248	8826
203	2257	8808
204	2267	8792
205	2276	8776
206	2287	8761
207	2297	8746
208	2306	8730
209	2316	8714
210	2326	8699
211	2336	8685
212	2346	8668
213	2355	8652
214	2366	8638
215	2376	8626
216	2387	8614
217	2399	8607
218	2411	8600
219	2423	8593
220	2434	8580
221	2444	8566
222	2453	8549
223	2463	8533
224	2473	8518
225	2482	8503
226	2492	8488
227	2502	8473
228	2512	8457
229	2522	8443
230	2531	8428
231	2541	8413
232	2551	8398
233	2561	8386
234	2572	8374
235	2583	8362
236	2592	8347
237	2602	8332
238	2612	8319
239	2623	8306
240	2632	8292
241	2642	8277
242	2652	8262
243	2662	8250
244	2672	8235
245	2682	8222
246	2692	8209
247	2702	8194
248	2711	8177
249	2720	8162
250	2730	8148
251	2740	8134
252	2750	8121
253	2760	8106
254	2769	8092
255	2779	8077
256	2789	8065
257	2799	8051
258	2809	8037
259	2818	8022
260	2828	8009
261	2838	7994
262	2847	7980
263	2858	7968
264	2868	7956
265	2878	7941
266	2888	7930
267	2899	7918
268	2908	7904
269	2919	7893
270	2931	7886
271	2944	7879
272	2955	7871
273	2966	7860
274	2978	7853
275	2988	7840
276	2998	7825
277	3007	7811
278	3017	7797
279	3027	7784
280	3036	7769
281	3047	7758
282	3056	7744
283	3066	7731
284	3076	7719
285	3087	7708
286	3097	7695
287	3107	7682
288	3117	7670
289	3127	7656
290	3136	7643
291	3146	7629
292	3156	7616
293	3166	7603
294	3175	7589
295	3186	7578
296	3196	7566
297	3205	7552
298	3216	7539
299	3226	7527
300	3235	7513
301	3245	7501
302	3255	7487
303	3264	7474
304	3274	7460
305	3283	7448
306	3293	7435
307	3303	7422
308	3313	7409
309	3323	7397
310	3333	7384
311	3342	7371
312	3352	7358
313	3362	7346
314	3372	7334
315	3382	7322
316	3392	7309
317	3402	7297
318	3412	7285
319	3422	7273
320	3432	7260
321	3441	7246
322	3451	7233
323	3460	7220
324	3470	7208
325	3480	7195
326	3490	7183
327	3500	7171
328	3509	7157
329	3519	7146
330	3529	7134
331	3539	7121
332	3549	7108
333	3558	7095
334	3567	7082
335	3577	7069
336	3587	7058
337	3596	7044
338	3606	7032
339	3616	7019
340	3626	7007
341	3635	6995
342	3645	6982
343	3654	6969
344	3664	6957
345	3673	6944
346	3683	6932
347	3694	6921
348	3704	6909
349	3713	6896
350	3723	6884
351	3732	6871
352	3742	6858
353	3751	6846
354	3761	6834
355	3770	6821
356	3780	6809
357	3790	6797
358	3800	6785
359	3809	6772
360	3819	6760
361	3828	6747
362	3838	6735
363	3847	6723
364	3857	6711
365	3867	6699
366	3877	6687
367	3886	6674
368	3896	6662
369	3906	6651
370	3915	6639
371	3925	6627
372	3935	6614
373	3944	6602
374	3954	6590
375	3964	6578
376	3974	6568
377	3984	6556
378	3994	6544
379	4004	6533
380	4014	6522
381	4023	6509
382	4033	6497
383	4042	6485
384	4052	6473
385	4062	6461
386	4071	6449
387	4081	6437
388	4091	6426
389	4101	6414
390	4111	6403
391	4121	6391
392	4131	6380
393	4140	6368
394	4150	6356
395	4160	6345
396	4169	6333
397	4179	6322
398	4189	6310
399	4199	6298
400	4209	6287
401	4218	6275
402	4228	6263
403	4237	6251
404	4247	6239
405	4256	6228
406	4266	6216
407	4276	6204
408	4286	6193
